desa_rawan,lat_rawan,lon_rawan,shelter,lat_shelter,lon_shelter,jarak_km,waktu_menit,status
Desa Sudagaran,-7.491794,108.808189,Balai Desa Ciklapa,-7.506522388,108.8105504,3.257,7.25,ok_azure
Desa Sudagaran,-7.491794,108.808189,Balai Desa Ciklapa,-7.506522388,108.8105504,3.257,7.25,ok_azure
Desa Kawunganten,-7.591934,108.92207,Balai Desa Kalijeruk,-7.578984,108.936294,2.682,5.1333,ok_azure
Desa Nusajati,-7.596982,109.200002,Balai Desa Sidasari,-7.576864044,109.201582,2.333,3.5667,ok_azure
Desa Kawunganten Lor,-7.584107,108.922413,Balai Desa Kawunganten Lor,-7.58543,108.919056,0.386,1.3,ok_azure
Desa Bojong,-7.608174,108.926794,Balai Desa Kubangkangkung,-7.620968609,108.9430662,2.354,2.9667,ok_azure
Desa Ciwuni,-7.604209,109.083059,Balai Desa Planjan,-7.623498,109.0785,2.766,5.4,ok_azure
Desa Ciwuni,-7.604209,109.083059,Balai Desa Planjan,-7.623498,109.0785,2.766,5.4,ok_azure
Desa Nusawengkal,-7.669805,109.34463,Balai Desa Karangsembung,-7.678502548,109.3554419,2.655,6.7833,ok_azure
Desa Nusawengkal,-7.669805,109.34463,Balai Desa Karangsembung,-7.678502548,109.3554419,2.655,6.7833,ok_azure
Desa Nusawengkal,-7.669805,109.34463,Balai Desa Karangsembung,-7.678502548,109.3554419,2.655,6.7833,ok_azure
Desa Karangjengkol,-7.602037,109.091578,Balai Desa Keleng,-7.595349,109.11045,2.34,4.1,ok_azure
Desa Karangsembung,-7.679916,109.363203,Balai Desa Purwadadi,-7.676746425,109.3430598,2.387,5.6833,ok_azure
Desa Karangsembung,-7.679916,109.363203,Balai Desa Purwadadi,-7.676746425,109.3430598,2.387,5.6833,ok_azure
Desa Tegalsari,-7.485648,108.774499,Balai Desa Sidareja,-7.482720383,108.7920794,2.396,5.1667,ok_azure
Desa Tegalsari,-7.485648,108.774499,Balai Desa Sidareja,-7.482720383,108.7920794,2.396,5.1667,ok_azure
Desa Tegalsari,-7.485648,108.774499,Balai Desa Sidareja,-7.482720383,108.7920794,2.396,5.1667,ok_azure
Desa Kesugihan,-7.608235,109.119931,Balai Desa Karangkemiri,-7.622875,109.130052,2.26,5.0833,ok_azure
Desa Kawunganten Lor,-7.584107,108.922413,Balai Desa Kalijeruk,-7.578984,108.936294,3.553,7.0333,ok_azure
Desa Kalisabuk,-7.658024,109.099508,Balai Desa Gombolharjo,-7.663956,109.112655,2.355,4.7333,ok_azure
Desa Kalisabuk,-7.658024,109.099508,Balai Desa Gombolharjo,-7.663956,109.112655,2.355,4.7333,ok_azure
Desa Kalisabuk,-7.658024,109.099508,Balai Desa Gombolharjo,-7.663956,109.112655,2.355,4.7333,ok_azure
Desa Sikampuh,-7.623398,109.197936,Balai Desa Ketanggung,-7.602318578,109.1984939,2.643,4.2667,ok_azure
Desa Rawajaya,-7.557334,108.892896,Balai Desa Rawajaya,-7.562052055,108.8795462,3.506,8.1833,ok_azure
Desa Rawajaya,-7.557334,108.892896,Balai Desa Rawajaya,-7.562052055,108.8795462,3.506,8.1833,ok_azure
Desa Rawajaya,-7.557334,108.892896,Balai Desa Rawajaya,-7.562052055,108.8795462,3.506,8.1833,ok_azure
Desa Penggalang,-7.653371,109.138309,Balai Desa Adipala,-7.660199,109.155491,2.66,5.4833,ok_azure
Desa Penggalang,-7.653371,109.138309,Balai Desa Adipala,-7.660199,109.155491,2.66,5.4833,ok_azure
Desa Cibalung,-7.320885,108.879411,Balai Desa Cisalak,-7.307785089523783,108.8654459383816,2.438,9.5667,ok_azure
Desa Margasari,-7.469319,108.774928,Balai Desa Serang,-7.461139083,108.7602117,2.576,7.75,ok_azure
Desa Margasari,-7.469319,108.774928,Balai Desa Serang,-7.461139083,108.7602117,2.576,7.75,ok_azure
Desa Margasari,-7.469319,108.774928,Balai Desa Serang,-7.461139083,108.7602117,2.576,7.75,ok_azure
Desa Sidamukti,-7.609299,108.754052,Balai Desa Purwodadi,-7.600792841,108.7623893,2.508,4.3333,ok_azure
Desa Sidamukti,-7.609299,108.754052,Balai Desa Purwodadi,-7.600792841,108.7623893,2.508,4.3333,ok_azure
Desa Sidamukti,-7.609299,108.754052,Balai Desa Purwodadi,-7.600792841,108.7623893,2.508,4.3333,ok_azure
Desa Karangsembung,-7.679916,109.363203,Balai Desa Klumprit,-7.661985721,109.3585673,2.52,4.6667,ok_azure
Desa Patimuan,-7.584914,108.76131,Balai Desa Cinyawang,-7.569886659,108.7697578,2.482,4.6667,ok_azure
Desa Patimuan,-7.584914,108.76131,Balai Desa Cinyawang,-7.569886659,108.7697578,2.482,4.6667,ok_azure
Desa Patimuan,-7.584914,108.76131,Balai Desa Cinyawang,-7.569886659,108.7697578,2.482,4.6667,ok_azure
Desa Nusawungu,-7.648797,109.345277,Balai Desa Nusawangkal,-7.669997397,109.3432928,2.521,3.9333,ok_azure
Desa Banjareja,-7.686408,109.374383,Balai Desa Kedungbenda,-7.667346462,109.3745851,2.745,4.65,ok_azure
Desa Gentasari,-7.601644,109.219899,Balai Desa Nusajati,-7.597090701,109.1991133,2.535,4.4333,ok_azure
Desa Kalijeruk,-7.579115,108.936851,Balai Desa Mentasan,-7.582681,108.957987,2.543,4.1,ok_azure
Desa Sidareja,-7.480474,108.795257,Balai Desa Sudagaran,-7.4901238,108.8095576,2.592,6.6833,ok_azure
