desa_rawan,lat_rawan,lon_rawan,shelter,lat_shelter,lon_shelter,jarak_km_matrix,jarak_km,waktu_menit,jalur_ke,status
Desa Cisumur,-7.528578,108.826473,Balai Desa Cisumur,-7.532618723,108.8210025,1.2,1.197,4.79,1.0,ok_ors
Desa Cisumur,-7.528578,108.826473,Balai Desa Cisumur,-7.532618723,108.8210025,1.2,2.198,5.65,2.0,ok_ors
Desa Cisumur,-7.528578,108.826473,Balai Desa Cisumur,-7.532618723,108.8210025,1.2,2.203,5.67,3.0,ok_ors
Desa Bantarmangu,-7.332414,108.894194,Balai Desa Babakan,-7.342641751,108.8939473,1.21,,,,gagal_ors
Desa Cilopadang,-7.303708,108.790659,Balai Desa Padangjaya,-7.312561715923866,108.78564673693214,1.22,1.218,1.7,1.0,ok_ors
Kelurahan Cilacap,-7.738098,109.014295,SMP N 1 Cilacap,-7.7385152,109.0090731,1.23,1.231,1.97,1.0,ok_ors
Desa Bener,-7.269907,108.759242,Balai Desa Bener,-7.261083250655202,108.7534014098299,1.26,1.257,1.51,1.0,ok_ors
Desa Panisihan,-7.585351,109.158374,Balai Desa Glempang,-7.577773384,109.1672232,1.29,1.287,0.91,1.0,ok_ors
Desa Cimanggu,-7.350939,108.839493,Balai Desa Cilempuyang,-7.342702844266789,108.83395417973034,1.29,1.289,1.55,1.0,ok_ors
Desa Kuripan Kidul,-7.65873,109.081864,Balai Desa Kuripan,-7.651916,109.083396,1.29,1.289,3.02,1.0,ok_ors
Desa Kuripan Kidul,-7.65873,109.081864,Balai Desa Kuripan,-7.651916,109.083396,1.29,1.535,3.8,2.0,ok_ors
Desa Bantarpanjang,-7.360889,108.856803,Balai Desa Panimbang,-7.367549798741719,108.86583925009202,1.29,1.291,0.99,1.0,ok_ors
Desa Karangjengkol,-7.602037,109.091578,Balai Desa Ciwuni,-7.604368,109.082218,1.29,1.291,1.98,1.0,ok_ors
Desa Tinggarjaya,-7.480452,108.766832,Balai Desa Tegalsari,-7.485581773,108.7744421,1.3,1.303,2.17,1.0,ok_ors
Desa Sampang,-7.566318,109.201228,Balai Desa Karangasem,-7.569695039,109.208944,1.31,1.309,4.31,1.0,ok_ors
Desa Sampang,-7.566318,109.201228,Balai Desa Karangasem,-7.569695039,109.208944,1.31,2.073,4.75,2.0,ok_ors
Desa Sampang,-7.566318,109.201228,Balai Desa Karangasem,-7.569695039,109.208944,1.31,1.772,4.83,3.0,ok_ors
Desa Sampang,-7.566318,109.201228,Balai Desa Sidasari,-7.576864044,109.201582,1.31,1.311,1.95,1.0,ok_ors
Desa Sampang,-7.566318,109.201228,Balai Desa Sidasari,-7.576864044,109.201582,1.31,1.329,2.7,2.0,ok_ors
Desa Adipala,-7.659838,109.156697,Balai Desa Adireja Wetan,-7.663377,109.1669,1.31,1.313,1.54,1.0,ok_ors
Desa Tegalsari,-7.485648,108.774499,Balai Desa Tinggarjaya,-7.480595869,108.7669981,1.33,1.327,2.27,1.0,ok_ors
